0.5,1,0,0,1,,,,N ,mean,variance,min,max
0.5,0,1,1,0,,,w/ outliers,100,0.73875,0.1012157786,0.5,0.9
0.5,0,1,1,0,,,>60%,91,0.7596153846,0.0793873443,0.6,0.9
0.5,0,1,1,0,,,>70%,73,0.7890410959,0.057883129,0.7,0.9
0.525,0.6,0.4,0.45,0.55,,,,,,,,
0.55,0.9,0.1,0.2,0.8,,,,,,,,
0.55,0.1,0.9,1,0,,,,,,,,
0.55,0.1,0.9,1,0,,,,,,,,
0.575,0.8,0.2,0.35,0.65,,,,,,,,
0.6,1,0,0.2,0.8,,,,,,,,
0.6,0.8,0.2,0.4,0.6,,,,,,,,
0.6,1,0,0.2,0.8,,,,,,,,
0.625,0.6,0.4,0.65,0.35,,,,,,,,
0.65,0.8,0.2,0.5,0.5,,,,,,,,
0.65,1,0,0.3,0.7,,,,,,,,
0.65,0.3,0.7,1,0,,,,,,,,
0.65,0.3,0.7,1,0,,,,,,,,
0.65,0.3,0.7,1,0,,,,,,,,
0.65,0.3,0.7,1,0,,,,,,,,
0.65,0.3,0.7,1,0,,,,,,,,
0.65,0.3,0.7,1,0,,,,,,,,
0.65,0.3,0.7,1,0,,,,,,,,
0.65,0.3,0.7,1,0,,,,,,,,
0.65,0.3,0.7,1,0,,,,,,,,
0.65,0.3,0.7,1,0,,,,,,,,
0.65,0.8,0.2,0.5,0.5,,,,,,,,
0.65,0.3,0.7,1,0,,,,,,,,
0.7,0.4,0.6,1,0,,,,,,,,
0.7,0.4,0.6,1,0,,,,,,,,
0.7,0.8,0.2,0.6,0.4,,,,,,,,
0.7,0.4,0.6,1,0,,,,,,,,
0.7,0.8,0.2,0.6,0.4,,,,,,,,
0.7,0.4,0.6,1,0,,,,,,,,
0.7,0.4,0.6,1,0,,,,,,,,
0.7,0.6,0.4,0.8,0.2,,,,,,,,
0.7,0.4,0.6,1,0,,,,,,,,
0.725,0.6,0.4,0.85,0.15,,,,,,,,
0.725,0.8,0.2,0.65,0.35,,,,,,,,
0.725,0.8,0.2,0.65,0.35,,,,,,,,
0.725,0.6,0.4,0.85,0.15,,,,,,,,
0.725,0.8,0.2,0.65,0.35,,,,,,,,
0.75,0.5,0.5,1,0,,,,,,,,
0.75,0.5,0.5,1,0,,,,,,,,
0.75,0.5,0.5,1,0,,,,,,,,
0.75,0.5,0.5,1,0,,,,,,,,
0.75,0.5,0.5,1,0,,,,,,,,
0.75,0.5,0.5,1,0,,,,,,,,
0.75,0.5,0.5,1,0,,,,,,,,
0.75,0.5,0.5,1,0,,,,,,,,
0.75,0.6,0.4,0.9,0.1,,,,,,,,
0.75,0.5,0.5,1,0,,,,,,,,
0.75,0.5,0.5,1,0,,,,,,,,
0.75,0.5,0.5,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.8,0.2,0.8,0.2,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.8,0.2,0.8,0.2,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.8,0.6,0.4,1,0,,,,,,,,
0.825,0.8,0.2,0.85,0.15,,,,,,,,
0.825,0.8,0.2,0.85,0.15,,,,,,,,
0.825,0.8,0.2,0.85,0.15,,,,,,,,
0.9,0.8,0.2,1,0,,,,,,,,
0.9,0.8,0.2,1,0,,,,,,,,
0.9,0.8,0.2,1,0,,,,,,,,
0.9,0.8,0.2,1,0,,,,,,,,
0.9,0.8,0.2,1,0,,,,,,,,
0.9,0.8,0.2,1,0,,,,,,,,
0.9,0.8,0.2,1,0,,,,,,,,
0.9,0.8,0.2,1,0,,,,,,,,
0.9,0.8,0.2,1,0,,,,,,,,
0.9,0.8,0.2,1,0,,,,,,,,
